claimant
Brett Giroir
Brad Schneider
Bill Cassidy
Ben Wikler
Anthony Scaramucci
Ann Wagner
Ami Bera
Alberta Darling
Adam Schiff
William Ruto
Will Hurd
Wendy Davis
Val Demings
U.S. Sen. Charles Schumer
U.S. Rep. Ann Kirkpatrick
Trey Blocker
Trent Franks
Tony Thurmond
Tony Perkins
Tony Fabrizio
Tom Wolf
Tom Tancredo
Tom Reed
Tom Malinowski
Tom Harkin
Tom DeLay
Tom Bossert
Todd Wilcox
Todd Rokita
Tim Carpenter
Thomas Perez
Thomas Croci
Terry McAuliffe; D
Ted Deutch
Sylvia Garcia
Steve Troxler
Steve Mnuchin
Steve Israel
Steve Daines
Steve Cortes
Steve Bannon
Stephen Miller
Stephen Martin
State representatives
Stacy White
Sri Preston Kulkarni
Sonny Perdue
Silvestre Reyes
Sheldon Whitehouse; D-R.I.
Shawn Thierry
Sen. Sherrod Brown
Sen. Roy Blunt
Sen. Rick Scott
Sean Ryan
Sean Patrick Maloney
Scott Rigell
Scott Milder
Scott Dawson
Sara Gideon
Sam Johnson
Sally Hernandez
Ryan Sitton
Ryan Frazier
Ruben Hinojosa
Ruben Gallego
Ron Wyden
Ron Tusler
Ron Klain
Ron Kim
Roman Prezioso
Romaine Quinn
Roger Roth
Rodney Ellis
Rod Blagojevich
Robin Schimminger
Robin Hayes
Robert Ortt
Robert Duffy
Robert Chody
Robert Astorino
Rob Wittman
Rob Swearingen
Rob Hutton
Rickey Padgett
Rick Santorum
Richard Pan
Richard Blumenthal
Ricardo Lara
Rep. Tom Reed
Rep. Mike Coffman
Rep. Chris Collins
Reagan was Right
Raymond Walter
Rashida Tlaib
Randy Forbes
Ralph Northam
Raj Shah
Pricey Harrison
Phil Ting
Phil Scott
Phil Bredesen
Peter Roskam
Peter Navarro
Peter Barca
Pete Olson
Paula Jean Swearengin
Paul Workman
Paul Soglin
Paul Maner
Paul Farrow
Paul Espinosa
Paul Babeu
Patty Murray
Patrick J. Kennedy
Patricia Fahy
Pat Cipollone
Norm Eisen
Nita Lowey
Nicolle Wallace
Nick Langworthy
Nicholas Langworthy
Nate McMurray
Natasha Marcus
Nancy Pelosi; D-Calif.
Morgan Griffith
Morgan Carroll
Monica Wallace
Mitt Romney
Mitch Carmichael
Mimi Walters
Mike Rogers
Mike Rawlings
Mike Gibbons
Mike Collier
Michael Williams
Michael Roberson
Michael P. Kearns
Michael Lee
Michael Burgess
Melvin Carter
Melissa Agard
Matt Caldwell
Mary Taylor
Mary González
Martin Golden
Martha Laning
Mark Pocan;
Mark Kirk
Mario Diaz-Balart
Maria Cantwell
Marco Rubio's heckler
Marcia Fudge
Marc Short
Marc Butler
Mamie Locke
Maggie Hassan
Madison Cawthorn
Madeleine Albright
