claimant_canonical_name
David Crowley (Wisconsin politician)
Dave Brat
Darren Jackson
Dana Young
Dana Wachs
Dan Kohl
Dan Crenshaw
Dale Kooyenga
Cynthia Nixon
Chris Abele
Chip Roy
Chad Mayes
Celia Israel
Casey Cagle
Carol Miller (politician)
Carlos Lopez-Cantera
Carlos Guillermo Smith
Caleb Rowden
Cal Cunningham
Bryan Steil
Brett Giroir
Brad Schneider
Bill Cassidy
Ben Wikler
Anthony Scaramucci
Ann Wagner
Ann Kirkpatrick
Ami Bera
Alberta Darling
Adam Schiff
William Ruto
Will Hurd
Wendy Davis (politician)
Val Demings
Trey Blocker
Trent Franks
Tony Thurmond
Tony Perkins (politician)
Tony Fabrizio
Tom Wolf
Tom Tancredo
Tom Malinowski
Tom Harkin
Tom DeLay
Tom Bossert
Todd Wilcox (Florida)
Todd Rokita
Tim Carpenter
Thomas Croci
Ted Deutch
Sylvia Garcia
Steven Mnuchin
Steve Troxler
Steve Martin (Virginia politician)
Steve Israel
Steve Daines
Steve Cortes
Steve Bannon
Stephen Miller (political advisor)
State representatives
Stacy White
Sri Preston Kulkarni
Sonny Perdue
Silvestre Reyes
Sheldon Whitehouse
Shawn Thierry
Sean Ryan
Sean Patrick Maloney
Scott Rigell
Scott Milder
Scott Dawson
Sara Gideon
Sam Johnson
Sally Hernandez
Ryan Sitton
Ryan Frazier
Rubén Hinojosa
Ruben Gallego
Ron Wyden
Ron Tusler
Ron Klain
Ron Kim (politician)
Roman Prezioso
Romaine Quinn
Roger Roth
Rodney Ellis
Rod Blagojevich
Robin Schimminger
Robin Hayes
Robert Duffy (politician)
Robert Chody
Rob Wittman
Rob Swearingen
Rob Ortt
Rob Hutton
Rob Astorino
Rick Santorum
Rick Padgett
Richard Pan
Richard Blumenthal
Ricardo Lara
Reagan was Right
Raymond Walter
Rashida Tlaib
Randy Forbes
Ralph Northam
Raj Shah
Pricey Harrison
Phil Ting
Phil Scott
Phil Bredesen
Peter W. Barca
Peter Roskam
Peter Navarro
Pete Olson
Paula Jean Swearengin
Paul Workman
Paul Soglin
Paul Maner
Paul Farrow
Paul Espinosa
Paul Babeu
Patty Murray
Patrick J. Kennedy
Patricia Fahy
Pat Cipollone
Norm Eisen
Nita Lowey
Nicolle Wallace
Nate McMurray
Natasha Marcus
Morgan Griffith
Morgan Carroll
Monica P. Wallace
MJ Hegar
Mitt Romney
Mitch Carmichael
Mimi Walters
Mike Rogers (Michigan politician)
Mike Rawlings
Mike Gibbons
Mike Collier
Mike Coffman
Michael Williams (Georgia politician)
Michael V. Lee
Michael Roberson
Michael C. Burgess
Melvin Carter (politician)
Melissa Agard
Matt Caldwell
Mary Taylor (Ohio politician)
Mary González
Marty Golden
Martha Laning
Mark Kirk
Mario Díaz-Balart
Maria Cantwell
Marco Rubio's heckler
Marcia Fudge
Marc W. Butler
Marc Short
Mamie Locke
Maggie Hassan
Madison Cawthorn
Madeleine Albright
Lovely Warren
Louise Slaughter
Louis J. Marinelli
Lou Barletta
Loretta Lynch
Lois Kolkhorst
Liz Cheney
Lindsey Graham
Linda Sánchez
Letitia James
Leslie Munger
Leonard Lance
LaWana Mayfield
LaKeshia Myers
Kwame Raoul
Kirstjen Nielsen
Kirk Watson
Kip Kendrick
Kionne McGhee
Kevin Parker (New York politician)
Kevin A. Cahill
Kendra Fershee
Kendall Scudder
Ken Blackwell
Kelly Cassidy
Keith Faber
Keisha Lance Bottoms
Katie Porter
Katie McGinty
Kathy Manning
Kathy Hochul
Kathleen Sebelius
Kasim Reed
Karl Racine
Karin Housley
Karen Bass
Justin Nelson
Justin Amash
Justice Democrats
Juliana Stratton
Julian Bradley
Judy Chu
Juan Williams
Joyce Beatty
Josh Pade
Josh Mandel
Josh Kaul
Josh Earnest
Joseph Berrios
José E. Serrano
Joni Ernst
Jonathan Wichmann
Jon Tester
Jon Husted
John Torbett
John Thune
John Skvarla
John Shimkus
John Ratcliffe (American politician)
John Podesta
John Plumb
John Moorlach
John Lewis
John Kirby (admiral)
John Kasich
John Flanagan
John Faso
John F. Kennedy
John Culberson
John Conyers
John Carter (Texas politician)
John Bucy III
John Bel Edwards
Joe Trillo
Joe Straus
Joe Sanfelippo
Joe Kennedy III
Joe Heck
Joe Arpaio
Jimmy P. Anderson
Jimmy Carter
Jim Webb
Jim Waldman
Jim Sensenbrenner
Jim Risch
Jim Ott
Jim Himes
Jim Clyburn
Jessica Morse
Jesse Kremer
Jesse Jackson
Jerry W. Tillman
Jerry E. Patterson
Jeremy Thiesfeldt
Jenny Wilson (politician)
Jeffrey Zients
Jeff Shipley
Jeff Merkley
Jeff Jackson (politician)
Jeff Brandes
Jeanne Shaheen
Jean Evans
Javier Gonzales
Janet Yellen
Janet Cruz
Janet Bewley (Wisconsin politician)
Jan Brewer
James Edming
Jacqueline Y. Collins
Jack Lew
Jack Kingston
J. D. Vance
Howard Marklein
Henry Cuellar
Harry Reid
Harry Brown
Hakeem Jeffries
Gus Bilirakis
Greg Walden
Greg Casar
Gina Raimondo
Gil Cisneros
Gery Chico
Gerald Daugherty
George Papadopoulos
George Borrello
Gene Wu
Garry McCarthy
Garland Tucker III
Frederica Wilson
Frank White
Everytown for Gun Safety
Evan Smith
Eugene DePasquale
Ertharin Cousin
Erika Harold
Erik Paulsen
Eric Holcomb
Elaine Phillips
Eileen Filler-Corn
Eddie Rodriguez
Duncan D. Hunter
Duf Sundheim
Drew Ferguson (politician)
Doug Ducey
Dorothy A. Brown
Doreen Costa
Donna Shalala
Donald Trump
Don Pridemore
Don Huffines
Don Beyer
Diane Savino
Derrick Crowe
DeAnna Lorraine
David R. Lewis
David Price (American politician)
David Lewis
David H. Simmons
David DiPietro
Dave Hansen
Dave Aronberg
Darrell Steinberg
Danny O'Connor
Daniel Biss
Dane Eagle
Dana Rohrabacher
Dan Flynn (politician)
Dan Blue
D. Cole Phelps
Crystal Peoples-Stokes
Colin Van Ostern
Chuck Grassley
