Original Num ,updated num,,url,title,languageCode,publisher.name,publisher.site,claimDate,reviewDate,text,claimYear,claimant,claimant_party,textualRating,reason,ratingsimp,T/F RQ1,claimant_canonical_name,is_politician_strict,rand_num,Fear,Self/Personal Record,Opponent/Opponent's Record,Legislation,National and State Macroeconomic Issues,Economic Well-Being and Domestic Commerce,Labor and Employment,Foreign Trade,Taxes,"Civil Rights, Minority Issues, and Civil Liberties",Immigration and Refugee Issues,LGBTQ,Race,Religion,Women,Health (non-care),Social Welfare,Education,Abortion,Healthcare,Government Operations,Defense/Military,International_affairs and Foreign Aid,Voting/Elections,Agriculture,Environment,Energy,Transportation,Community Development and Housing,Technology Science Space,Media and Communications,Law and Crime and Policing,Terrorism,Guns,History,Record/Candidate Biography/ Campaigns and Personal Behavior
125,125,6285,https://www.politifact.com/factchecks/2020/may/19/nancy-pelosi/no-he-not-morbidly-obese/,Donald Trump doesn't meet the definition of morbidly obese,en,PolitiFact,politifact.com,2020-05-19T00:00:00Z,,Says President Donald Trump is 'morbidly obese.',2020,Nancy Pelosi,Democratic,FALSE,,2 False,False(ish),Nancy Pelosi,TRUE,2187,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
126,126,3825,http://www.politifact.com/factchecks/2016/apr/25/ted-cruz/cruz-attack-ad-trump-distorts-transgender-bathroom/,Cruz attack ad on Trump distorts transgender bathroom access issue,en,PolitiFact,politifact.com,2016-04-22T00:00:00Z,2016-04-25T21:53:31Z,Says Donald Trump thinks 'a grown man pretending to be a woman (should) be allowed to use the women's restroom.',2016,Ted Cruz,Republican,Mostly False,,3 Mostly False,False(ish),Ted Cruz,TRUE,2185,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
127,127,4550,http://www.politifact.com/factchecks/2018/feb/23/ted-deutch/did-mass-shootings-increase-200-percent-assault-we/,Did mass shootings increase 200 percent since assault weapons ban expired?,en,PolitiFact,politifact.com,2018-02-21T00:00:00Z,2018-02-23T19:09:05Z,Mass shootings went up 200 percent in the decade after the assault weapons ban expired.',2018,Ted Deutch,Democratic,Mostly False,,3 Mostly False,False(ish),Ted Deutch,TRUE,2183,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
128,128,1478,http://www.politifact.com/factchecks/2017/nov/09/delaine-eastin/false-claim-california-has-built-nearly-four-times/,The False claim California has built far more prisons than colleges since 1965,en,PolitiFact,politifact.com,2017-10-16T00:00:00Z,2017-11-10T02:07:49Z,Since 1965; California has built 'six (college) campuses but 23 prisons.',2017,Delaine Eastin,Democratic,FALSE,,2 False,False(ish),Delaine Eastin,TRUE,2181,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
129,129,4217,http://www.politifact.com/factchecks/2016/apr/21/pat-mccrory/nc-gov-pat-mccrory-under-fire-hb2-says-human-right/,NC Gov. Pat McCrory; under fire on HB2; says Human Rights Campaign is 'more powerful than the NRA',en,PolitiFact,politifact.com,2016-04-17T00:00:00Z,2016-04-21T23:27:14Z,The Human Rights Campaign is 'more powerful than the NRA',2016,Pat McCrory,Republican,FALSE,,2 False,False(ish),Pat McCrory,TRUE,2179,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
130,130,6549,https://www.politifact.com/factchecks/2020/feb/18/bernie-sanders/sanders-twists-bloombergs-record-tax-hikes-and-cut/,Sanders twists Bloomberg's record on tax hikes and cuts to Medicare and Social Security,en,PolitiFact,politifact.com,2020-02-15T00:00:00Z,,Says Mike Bloomberg 'opposed modest proposals during Barack Obama’s presidency to raise taxes on the wealthy; while advocating for cuts to Medicare and Social Security.',2020,Bernie Sanders,Democratic,Mostly False,,3 Mostly False,False(ish),Bernie Sanders,TRUE,2178,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
131,131,5703,http://www.politifact.com/factchecks/2015/jan/30/debbie-wasserman-schultz/debbie-wasserman-schultz-says-marco-rubio-now-agai/,Debbie Wasserman Schultz says Marco Rubio now against immigration reform; pathway to citizenship,en,PolitiFact,politifact.com,2015-01-23T00:00:00Z,2016-05-12T14:57:21Z,Says Marco Rubio 'was for immigration reform and a pathway to citizenship before he was against it.',2015,Debbie Wasserman Schultz,Democratic,Mostly False,,3 Mostly False,False(ish),Debbie Wasserman Schultz,TRUE,2173,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
132,132,5805,http://www.politifact.com/factchecks/2016/jul/18/rudy-giuliani/rudy-giuliani-wrongly-says-hillary-clinton-open-bo/,Rudy Giuliani wrongly says Hillary Clinton is for open borders,en,PolitiFact,politifact.com,2016-07-18T00:00:00Z,2016-07-19T03:11:18Z,Hillary Clinton is for open borders.',2016,Rudy Giuliani,Republican,FALSE,,2 False,False(ish),Rudy Giuliani,TRUE,2171,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
133,133,5205,http://www.politifact.com/factchecks/2013/jul/24/jesse-jackson/homicides-blacks-have-tripled-stand-your-ground-wa/,Homicides of blacks have tripled since 'stand your ground' was passed in Florida; Jesse Jackson says,en,PolitiFact,politifact.com,2013-07-18T00:00:00Z,2016-05-12T13:55:20Z,Homicides against blacks have tripled' since Florida’s 'stand your ground' law has been in existence.,2013,Jesse Jackson,Democratic,FALSE,,2 False,False(ish),Jesse Jackson,TRUE,2170,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
134,134,2877,http://www.politifact.com/factchecks/2016/jul/31/paul-manafort/trump-campaign-chief-dnc-leak-proves-clinton-campa/,Trump campaign wrong about Clinton influence on debates against Sanders; Trump,en,PolitiFact,politifact.com,2016-07-31T00:00:00Z,2016-07-31T22:42:06Z,The DNC hack showed you that the Clinton campaign was working to schedule (primary) debates against (Bernie) Sanders;' and the Clinton campaign is continuing this 'ploy' against Donald Trump.,2016,Paul Manafort,Republican,FALSE,,2 False,False(ish),Paul Manafort,FALSE,2169,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
