...1,url,languageCode,publisher.name,publisher.site,reviewDate,text,claimDate,claimant_party,reason,claimYear,Fear,Self/Personal Record,Opponent/Opponent's Record,Legislation,National and State Macroeconomic Issues,Economic Well-Being and Domestic Commerce,Labor and Employment,Foreign Trade,Taxes,"Civil Rights, Minority Issues, and Civil Liberties",Immigration and Refugee Issues,LGBTQ,Race,Religion,Women,Health (non-care),Social Welfare,Education,Abortion,Healthcare,Government Operations,Defense/Military,International_affairs and Foreign Aid,Voting/Elections,Agriculture,Environment,Energy,Transportation,Community Development and Housing,Technology Science Space,Media and Communications,Law and Crime and Policing,Terrorism,Guns,History,Record/Candidate Biography/ Campaigns and Personal Behavior,textualRating,claimant,location,location.extra,title
4064,https://www.politifact.com/factchecks/2018/aug/29/tim-moore/moore-says-constitutional-amendment-puts-nc-line-o/,en,PolitiFact,politifact.com,2018-08-30T17:08:29Z,North Carolina is one of 'very few states' that give the governor sole discretion to pick judges.,2018-08-24T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Tim Moore,Speech/Remarks,Unspecified,NC Speaker says constitutional amendment puts NC in line with other states
3835,https://www.politifact.com/factchecks/2018/aug/30/mike-dewine/fact-checking-mike-dewines-attack-rich-cordray-abo/,en,PolitiFact,politifact.com,2018-08-30T17:50:26Z,While Richard Cordray was Attorney General; 12;000 rape kits like Allyssa's were left untested. Cordray's failure left serial rapists free to strike again. Then Mike DeWine became Attorney General. He tested all 12;000 rape kits. Now hundreds of rapists are behind bars.',2018-08-22T00:00:00Z,Republican,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Mike DeWine,Advertisement,,Fact-checking Mike DeWine's attack on Rich Cordray about rape kit testing
921,https://www.politifact.com/factchecks/2018/aug/30/tony-evers/tony-evers-cherry-picks-old-statistic-claiming-wis/,en,PolitiFact,politifact.com,2018-08-31T14:23:14Z,Another thing that’s a Wisconsin value is infrastructure; whether it’s roads or bridges...we are 49th out of 50 states in infrastructure.',2018-08-16T00:00:00Z,Democratic,NA,2018,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,False,Tony Evers,Speech/Remarks,Campaign,Tony Evers cherry picks an old statistic in claiming Wisconsin infrastructure near-worst
4695,https://www.politifact.com/factchecks/2018/sep/04/leah-vukmir/gop-us-senate-candidate-vukmir-refreshes-claim-abo/,en,PolitiFact,politifact.com,2018-09-04T19:34:18Z,Says 'I have been through the gauntlet; when we had riots in that Capitol.',2018-07-26T00:00:00Z,Republican,NA,2018,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Pants on Fire,Leah Vukmir,Public Event,,GOP US Senate candidate Vukmir refreshes claim about 2011 Capitol 'riots'
1722,https://www.politifact.com/factchecks/2018/sep/05/mike-mccabe/mike-mccabe-says-minnesota-imprisoning-half-many-p/,en,PolitiFact,politifact.com,2018-09-05T16:28:39Z,Says Minnesota is 'imprisoning half as many people as Wisconsin; and yet our states have virtually identical crime rates.',2018-07-06T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Mike McCabe,TV Appearance,Regional Station,Mike McCabe says Minnesota is imprisoning half as many people as Wisconsin; with same crime rates
5376,https://www.politifact.com/factchecks/2018/sep/05/andrew-gillum/fact-checking-andrew-gillums-claim-he-was-sued-nra/,en,PolitiFact,politifact.com,2018-09-05T18:46:22Z,Says he was sued by the NRA and the gun lobby 'all because in my city we refused to repeal an ordinance which said you couldn’t shoot guns in city parks.',2018-08-29T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mostly True,Andrew Gillum,TV Appearance,MSNBC,Fact-checking Andrew Gillum's claim that he was sued by NRA and gun lobby over Tallahassee ordinance
5970,https://www.politifact.com/factchecks/2018/sep/05/ted-cruz/ted-cruz-falsely-says-beto-grateful-flag-burners/,en,PolitiFact,politifact.com,2018-09-05T21:28:06Z,Says Beto O’Rourke said he’s grateful that people are burning or desecrating the American flag.,2018-09-04T00:00:00Z,Republican,NA,2018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,False,Ted Cruz,Advertisement,,Ted Cruz falsely says Beto O'Rourke said he was 'grateful' for US flag burners
4836,https://www.politifact.com/factchecks/2018/sep/06/ron-desantis/no-floridas-andrew-gillum-not-socialist/,en,PolitiFact,politifact.com,2018-09-06T15:50:40Z,Says Andrew Gillum has a 'far left socialist platform.',2018-08-30T00:00:00Z,Republican,NA,2018,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,False,Ron DeSantis,Interview,,No; Florida's Andrew Gillum does not have a far left socialist platform
1726,https://www.politifact.com/factchecks/2018/sep/06/dan-kohl/why-dan-kohl-democrat-running-against-us-rep-glenn/,en,PolitiFact,politifact.com,2018-09-06T18:18:13Z,I'm not a politician.',2018-09-04T00:00:00Z,Democratic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Half True,Dan Kohl,Advertisement,,Why Herb Kohl nephew Dan Kohl; opponent of Glenn Grothman; straddles line on being a 'politician'
2141,https://www.politifact.com/factchecks/2018/sep/06/andrew-cuomo/cuomo-claims-his-gun-control-law-toughest/,en,PolitiFact,politifact.com,2018-09-06T23:55:26Z,We passed the toughest gun control law in the United States of America; the SAFE Act.',2018-08-29T00:00:00Z,Democratic,NA,2018,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,Mostly False,Andrew Cuomo,Debate,Election Debate,Cuomo claims his gun control law is toughest
