...1,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party
15379,https://www.nytimes.com/2020/02/01/us/politics/bernie-sanders-fact-check.html,Fact-Checking Bernie Sanders Before the Iowa Caucuses (Published 2020),This is exaggerated.,en,The New York Times,nytimes.com,2020-02-01T00:00:00Z,The vast majority of people in the Democratic primaries absolutely support a Medicare for all; single-payer system.',Bernie Sanders,2020-01-07T00:00:00Z,Democratic
15408,https://www.nytimes.com/2020/02/01/us/politics/bernie-sanders-fact-check.html,Fact-Checking Bernie Sanders Before the Iowa Caucuses (Published 2020),This is exaggerated.,en,The New York Times,nytimes.com,2020-02-01T00:00:00Z,I don't accept that' I have one of the worst records in terms of bipartisan deal-making in the legislature right now.,Bernie Sanders,2020-01-13T00:00:00Z,Democratic
15102,https://www.nytimes.com/2020/02/01/us/politics/bernie-sanders-fact-check.html,Fact-Checking Bernie Sanders Before the Iowa Caucuses (Published 2020),This is disputed.,en,The New York Times,nytimes.com,2020-02-01T00:00:00Z,Health care spending under the current system 'will be a lot more expensive than a Medicare for all single-payer system.',Bernie Sanders,2020-01-24T00:00:00Z,Democratic
15533,https://www.nytimes.com/2020/02/11/us/politics/bloomberg-stop-and-frisk-fact-check.html,Responding to Critics; Bloomberg Omits Role in Expanding Stop-and-Frisk (Published 2020),This is misleading.,en,The New York Times,nytimes.com,2020-02-11T00:00:00Z,I 'inherited the police practice of stop-and-frisk' and 'by the time I left office; I cut it back by 95 percent.',Michael Bloomberg,2020-02-11T00:00:00Z,Democratic
15157,https://www.nytimes.com/2020/06/26/us/politics/coronavirus-pence-fact-check.html,Fact Checking Mike Pence on the Coronavirus Pandemic,False.,en,The New York Times,nytimes.com,2020-06-26T00:00:00Z,We flattened the curve.',Mike Pence,2020-06-19T00:00:00Z,Republican
15154,https://www.nytimes.com/2020/06/26/us/politics/coronavirus-pence-fact-check.html,Fact Checking Mike Pence on the Coronavirus Pandemic,FALSE,en,The New York Times,nytimes.com,2020-06-26T00:00:00Z,As we stand here today; all 50 states and territories across this country are opening up safely and responsibly.',Mike Pence,2020-06-26T00:00:00Z,Republican
15224,https://www.nytimes.com/2020/06/26/us/politics/coronavirus-pence-fact-check.html,Fact Checking Mike Pence on the Coronavirus Pandemic,FALSE,en,The New York Times,nytimes.com,2020-06-26T00:00:00Z,I’s almost inarguable that more testing is generating more cases. To one extent or another; the volume of new cases coming in is a reflection of a great success in expanding testing across the country.',Mike Pence,2020-06-26T00:00:00Z,Republican
15105,https://www.nytimes.com/2020/07/11/us/politics/fact-checking-biden-on-the-coronavirus-and-his-own-record.html,Fact-Checking Biden on the Coronavirus and His Own Record,False.,en,The New York Times,nytimes.com,2020-07-11T00:00:00Z,The N.A.A.C.P. has endorsed me every time I’ve run. I mean; come on; take a look at the record.',Joe Biden,2020-05-22T00:00:00Z,Democratic
15486,https://www.nytimes.com/2020/07/11/us/politics/fact-checking-biden-on-the-coronavirus-and-his-own-record.html,Fact-Checking Biden on the Coronavirus and His Own Record,This is exaggerated.,en,The New York Times,nytimes.com,2020-07-11T00:00:00Z,I’ve been against Keystone from the beginning.',Joe Biden,2020-05-22T00:00:00Z,Democratic
15558,https://www.nytimes.com/2020/07/11/us/politics/fact-checking-biden-on-the-coronavirus-and-his-own-record.html,Fact-Checking Biden on the Coronavirus and His Own Record,This is misleading.,en,The New York Times,nytimes.com,2020-07-11T00:00:00Z,There’s a study out of Columbia University and a disease control center up there. They pointed out that if he had listened to me and others and acted just one week earlier to deal with this virus; there’d be 36;000 fewer people dead.',Joe Biden,2020-05-22T00:00:00Z,Democratic
