...1,url,title,textualRating,languageCode,publisher.name,publisher.site,reviewDate,text,claimant,claimDate,claimant_party
14463,https://www.washingtonpost.com/politics/2019/09/13/fact-checking-third-democratic-presidential-debate/,Fact check of the third Democratic debate,FALSE,en,The Washington Post,washingtonpost.com,2019-09-13T12:45:45Z,We didn’t lock people up in cages; we didn’t separate families.',Joe Biden,2019-09-12T00:00:00Z,Democratic
14683,https://www.washingtonpost.com/politics/2019/09/13/fact-checking-third-democratic-presidential-debate/,Fact check of the third Democratic debate,FALSE,en,The Washington Post,washingtonpost.com,2019-09-13T12:45:45Z,We have more African Americans under criminal supervision today than all the slaves in 1850.',Cory Booker,2019-09-12T00:00:00Z,Democratic
14478,https://www.washingtonpost.com/politics/2019/09/30/are-sanders-warren-grassroots-funded/,Are Warren and Sanders '100% grassroots-funded'?,Two Pinocchios,en,The Washington Post,washingtonpost.com,2019-09-30T14:42:05Z,We’re 100% grassroots-funded.',Elizabeth Warren,2019-07-26T00:00:00Z,Democratic
13974,https://www.washingtonpost.com/politics/2019/09/30/are-sanders-warren-grassroots-funded/,Are Warren and Sanders '100% grassroots-funded'?,Two Pinocchios,en,The Washington Post,washingtonpost.com,2019-09-30T14:42:05Z,We are 100% funded at the grassroots level.',Bernie Sanders,2019-09-13T00:00:00Z,Democratic
13662,https://www.washingtonpost.com/politics/2019/10/15/fact-checking-fourth-democratic-debate/,Fact check of the 4th Democratic debate,Exaggerated,en,The Washington Post,washingtonpost.com,2019-10-16T12:49:53Z,You have half a million people sleeping out on the street today.',Bernie Sanders,2019-10-15T00:00:00Z,Democratic
13921,https://www.washingtonpost.com/politics/2019/10/15/fact-checking-fourth-democratic-debate/,Fact check of the 4th Democratic debate,FALSE,en,The Washington Post,washingtonpost.com,2019-10-16T12:49:53Z,Donald Trump has broken his promises because Ohio; Michigan and Pennsylvania actually in the latest jobs data have lost jobs; not gained them.',Julian Castro,2019-10-15T00:00:00Z,Democratic
14421,https://www.washingtonpost.com/politics/2019/10/23/trump-mulvaneys-claim-that-corruption-concerns-held-up-ukraine-aid/,Analysis | Trump and Mulvaney’s claim that corruption concerns held up Ukraine aid,Four Pinocchios,en,The Washington Post,washingtonpost.com,2019-10-23T14:22:55Z,There were two reasons that we held up the aid. We talked about this at some length. The first one was the rampant corruption in Ukraine. Ukraine — by the way; Chris; it’s so bad in Ukraine that in 2014; Congress passed a law making it; making us; requiring us; to make sure that corruption was moving in the right direction. So; corruption is a big deal; everyone knows it. The president was also concerned about whether or not other nations; specifically European nations; were helping with foreign aid to the Ukraine as well.',Mick Mulvaney,2019-10-20T00:00:00Z,Republican
14279,https://www.washingtonpost.com/politics/2019/11/14/fact-checking-opening-day-trump-impeachment-hearings/,Analysis | Fact-checking the opening day of the Trump impeachment hearings,FALSE,en,The Washington Post,washingtonpost.com,2019-11-14T12:47:12Z,The Democrats cooperated in Ukrainian election meddling … What is the full extent of Ukrainian election meddling against the Trump campaign?',Devin Nunes,2019-11-13T00:00:00Z,Republican
14312,https://www.washingtonpost.com/politics/2019/11/14/fact-checking-opening-day-trump-impeachment-hearings/,Analysis | Fact-checking the opening day of the Trump impeachment hearings,Exaggerated,en,The Washington Post,washingtonpost.com,2019-11-14T12:47:12Z,Ambassador Taylor testified that President Trump was the first president to see that Ukraine was afforded Javelin antitank weapons. This was a very strong message that Americans are willing to provide more than blankets. This was the Obama administration’s approach.',Devin Nunes,2019-11-13T00:00:00Z,Republican
6485,https://www.washingtonpost.com/politics/2019/11/21/fact-checking-fifth-democratic-presidential-debate/,Fact-checking the fifth Democratic presidential debate,FALSE,en,The Washington Post,washingtonpost.com,2019-11-21T20:27:20Z,The president had to confess in writing; in court; to illegally diverting charitable contributions that were supposed to go to veterans.',Pete Buttigieg,2019-11-20T00:00:00Z,Democratic
13491,https://www.washingtonpost.com/politics/2019/11/21/fact-checking-fifth-democratic-presidential-debate/,Fact-checking the fifth Democratic presidential debate,Exaggerated,en,The Washington Post,washingtonpost.com,2019-11-21T20:27:20Z,Five hundred thousand people go bankrupt because of medically related issues. They come down with cancer; and that’s a reason to go bankrupt?',Bernie Sanders,2019-11-20T00:00:00Z,Democratic
13851,https://www.washingtonpost.com/politics/2019/11/21/fact-checking-fifth-democratic-presidential-debate/,Fact-checking the fifth Democratic presidential debate,Exaggerated,en,The Washington Post,washingtonpost.com,2019-11-21T20:27:20Z,You’ve got 500;000 people sleeping out on the street.',Bernie Sanders,2019-11-20T00:00:00Z,Democratic
14078,https://www.washingtonpost.com/politics/2019/11/21/fact-checking-fifth-democratic-presidential-debate/,Fact-checking the fifth Democratic presidential debate,FALSE,en,The Washington Post,washingtonpost.com,2019-11-21T20:27:20Z,With more African Americans under criminal supervision in America than all the slaves since 1850; do not roll up into communities and not talk directly to issues that are going to relate to the liberation of children.',Cory Booker,2019-11-20T00:00:00Z,Democratic
